category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Kaunokirjallisuus->Dekkarit,Dekkarit,"Isätön tyttö","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Isätön tyttö.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Rex Stout","                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",WSOY,,"1. p",1996,243,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,35,,published,yes,1,,no,833321,instock,simple,yes,Kaunokirjallisuus->Dekkarit,7,
Tietokirjallisuus->Matkakirjat,Matkakirjat,"Lootuksenkukkia ja lohikäärmeitä - Geodeetin matkoja Kiinaan","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Lootuksenkukkia ja lohikäärmeitä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Juhani Kakkuri","                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",WSOY,,"1. p",1999,186,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833322,instock,simple,yes,Tietokirjallisuus->Matkakirjat,7,
Kaunokirjallisuus->Romaanit,Romaanit,Lasijärvi,,Lasilinna.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Maeve Binchy","                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",WSOY,,"1. p",1996,673,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833323,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Haudattu jättiläinen",,"Haudattu jättiläinen.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kazuo Ishiguro","Keltainen kirjasto",Tammi,,"1. p",2016,378,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,17,,published,yes,1,,no,833324,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Niin raskas on rakkaus",,"Niin raskas on rakkaus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Sara Stridsberg","Keltainen kirjasto",Tammi,,"1. p",2016,365,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833325,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Ole luonani aina",,"Ole luonani aina.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kazuo Ishiguro","Keltainen kirjasto",Tammi,,"3. p",2017,394,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,17,,published,yes,1,,no,833326,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
