category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Kaunokirjallisuus->Romaanit,Romaanit,"Ehkä me vielä jaksamme nousta","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","ehkä me vielä jaksamme nousta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Aaro Murros",,WSOY,,"1. p",1934,186,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833197,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Aika vierii taaksepäin","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","aika vieri taaksepäin.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Fred Hildenbrandt",,WSOY,,"1. p",1941,215,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833198,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Kaivos,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",kaivos.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Viljo Paula",,WSOY,,"1. p",1948,230,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833199,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Virranviemää,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",virranviemä.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Katri Ingman",,WSOY,,"1. p",1927,246,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833200,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Rohkeat Sydämet","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","rohkeat sydämet.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Katri Ingman",,WSOY,,"1. p",1930,233,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833201,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Opettaja,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",opettaja.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K. A. Järvi",,WSOY,,"1. p",1907,230,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833202,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Maan hiljaiset","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","maan hiljaiset.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Arvi Järventaus",,WSOY,,"1. p",1925,212,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833203,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Kruunun metsissä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","kruunun metsissä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Larin Kyösti",,WSOY,,"1. p",1891,155,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,12,,published,yes,1,,no,833204,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Tykkien virsi","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","tykkien virsi.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Arvi Järventaus",,WSOY,,"1. p",1933,160,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833205,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Lahjomaton laki Karjalainen kertomus","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","lahjomaton laki.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K. A. Järvi",,WSOY,,"1. p",1925,135,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833206,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
